conf_num z qprop_value
3 43 (-0.002431825733294256+4.1285015209670974e-05j)
3 44 (-0.007484952382228717+4.0884524881749226e-05j)
3 45 (-0.02626321078736067-8.129121808279567e-05j)
3 46 (-0.10078629538379258+0.0003178778502905217j)
3 47 (-0.41588575160747837+0.00021333430723355406j)
4 0 (-5.3272251510460395e-15-6.166562967930635e-05j)
4 1 (0.40720275845462894+0.0002903676666694674j)
4 2 (0.09816529433727536+0.0001415872076022141j)
4 3 (0.02569366285381574-0.0002317204275129292j)
4 4 (0.007494249021019382-0.0001644240709187388j)
4 5 (0.0023185577824632216-2.8020364042159427e-05j)
4 6 (0.000817139498656473-8.080303264289102e-06j)
4 7 (0.00031689581054145907-1.274544505142662e-07j)
4 8 (0.0001260674897416244+2.0353089139478776e-06j)
4 9 (5.015202859640056e-05+9.59914873707963e-07j)
4 10 (2.0025733412672105e-05+3.474011727193016e-07j)
4 11 (8.86910894979673e-06-8.721243198459499e-10j)
4 12 (4.143109851430332e-06-1.6567890899071146e-07j)
4 13 (1.929008109896673e-06-4.635155741563486e-08j)
4 14 (8.62583030248201e-07+9.797186228770683e-09j)
4 15 (4.055727721902984e-07+3.824578821508906e-08j)
4 16 (1.810101322180748e-07+1.5384982969648387e-08j)
4 17 (8.499207440348375e-08+6.054189459412852e-09j)
4 18 (3.963550872270813e-08+2.0034440934026088e-09j)
4 19 (1.830174734487437e-08+1.0324133766124387e-09j)
4 20 (7.645253027052973e-09+2.3494158213970673e-10j)
4 21 (3.04632510214678e-09+3.5844648882620927e-10j)
4 22 (1.2719475817499863e-09+1.1281222277068043e-11j)
4 23 (3.859792819624614e-10-1.3711529296584592e-10j)
4 24 (-1.7211511945215096e-10-1.9332363434456025e-10j)
4 25 (-7.927368016382826e-10-3.177271206108386e-10j)
4 26 (-2.2064142522983637e-09-2.7414580608683587e-10j)
4 27 (-5.112424353189739e-09-2.3176199973977443e-10j)
4 28 (-9.316170402020859e-09-7.737937306368475e-11j)
4 29 (-1.8440639477024068e-08-1.3472483685302999e-09j)
4 30 (-3.8906547787005274e-08-4.740633314780347e-09j)
4 31 (-8.138084985029798e-08-1.066743144646617e-08j)
4 32 (-1.6848289299878286e-07-2.0361510505289554e-08j)
4 33 (-3.6921670264213284e-07-5.556846612780848e-08j)
4 34 (-8.40780669586664e-07-1.2917949913600758e-07j)
4 35 (-1.9254081847738475e-06-2.155461079697492e-07j)
4 36 (-4.327282138499977e-06-2.62123755437684e-07j)
4 37 (-9.502853333666507e-06-5.100785781475277e-08j)
4 38 (-2.098714913873895e-05+7.78988374181493e-09j)
4 39 (-4.7713705682268583e-05+9.7606118413212e-07j)
4 40 (-0.0001152779347166369+1.2975597220265315e-06j)
4 41 (-0.00030144364501427385+6.863044983560388e-06j)
4 42 (-0.0008265069052467867+2.2755380939025402e-05j)
4 43 (-0.0023793809615872937+3.008991825675863e-05j)
4 44 (-0.007599090987256587-5.740111164822863e-05j)
4 45 (-0.026638964532529105-0.00010107842783148131j)
4 46 (-0.10000895776369136-9.629336217379826e-06j)
4 47 (-0.4058635124347041+0.00032914582018063357j)
5 0 (-1.137120682920159e-14+0.0003367843540906787j)
5 1 (0.4089709947137987+0.0002667412792616747j)
5 2 (0.1002499472644976+0.0004724562489407039j)
5 3 (0.025528613158660646+0.0004297207189824672j)
5 4 (0.007039885990685625+0.0002531583771221816j)
5 5 (0.0021636820673802647+0.00016156664970343743j)
5 6 (0.0007558480531943392+7.393167113732737e-05j)
5 7 (0.00028494650928962523+3.242470305358552e-05j)
5 8 (0.00011310527646339463+1.4891995056387963e-05j)
5 9 (4.818353886968672e-05+7.51372767274199e-06j)
5 10 (2.043865055616919e-05+2.9836295122981467e-06j)
